,date_only,avgtempf,prcp,snow,day,month,dayofweek,weekend
0,2014-01-01,39.11,0,0,1,1,2,0
1,2014-01-02,36.05,86,48,2,1,3,0
2,2014-01-03,25.61,0,0,3,1,4,0
3,2014-01-04,25.61,0,0,4,1,5,1
4,2014-01-05,36.59,28,0,5,1,6,1
5,2014-01-06,30.02,33,0,6,1,0,0
6,2014-01-07,13.73,0,0,7,1,1,0
7,2014-01-08,22.1,0,0,8,1,2,0
8,2014-01-09,35.06,0,0,9,1,3,0
9,2014-01-10,33.62,145,0,10,1,4,0
10,2014-01-11,47.48,221,0,11,1,5,1
11,2014-01-12,44.96,0,0,12,1,6,1
12,2014-01-13,46.49,0,0,13,1,0,0
13,2014-01-14,47.48,89,0,14,1,1,0
14,2014-01-15,44.51,0,0,15,1,2,0
15,2014-01-16,38.03,0,0,16,1,3,0
16,2014-01-17,40.01,0,0,17,1,4,0
17,2014-01-18,32.54,0,0,18,1,5,1
18,2014-01-19,38.12,0,0,19,1,6,1
19,2014-01-20,48.47,0,0,20,1,0,0
20,2014-01-21,29.12,46,97,21,1,1,0
21,2014-01-22,14.18,0,0,22,1,2,0
22,2014-01-23,20.21,0,0,23,1,3,0
23,2014-01-24,17.69,0,0,24,1,4,0
24,2014-01-25,28.58,0,0,25,1,5,1
25,2014-01-26,27.14,0,0,26,1,6,1
26,2014-01-27,38.57,0,0,27,1,0,0
27,2014-01-28,18.14,0,13,28,1,1,0
28,2014-01-29,19.67,8,10,29,1,2,0
29,2014-01-30,25.07,0,0,30,1,3,0
30,2014-01-31,38.12,0,0,31,1,4,0
31,2014-02-01,40.64,0,0,1,2,5,1
32,2014-02-02,49.01,0,0,2,2,6,1
33,2014-02-03,41.99,376,-9999,3,2,0,0
34,2014-02-04,34.61,13,0,4,2,1,0
35,2014-02-05,38.57,84,0,5,2,2,0
36,2014-02-06,34.07,0,0,6,2,3,0
37,2014-02-07,36.59,0,0,7,2,4,0
38,2014-02-08,33.08,0,0,8,2,5,1
39,2014-02-09,32.54,0,3,9,2,6,1
40,2014-02-10,30.11,0,0,10,2,0,0
41,2014-02-11,28.58,0,0,11,2,1,0
42,2014-02-12,25.16,23,28,12,2,2,0
43,2014-02-13,33.08,409,150,13,2,3,0
44,2014-02-14,42.53,0,0,14,2,4,0
45,2014-02-15,35.51,18,0,15,2,5,1
46,2014-02-16,32.54,0,0,16,2,6,1
47,2014-02-17,31.55,0,0,17,2,0,0
48,2014-02-18,44.06,15,8,18,2,1,0
49,2014-02-19,49.01,30,0,19,2,2,0
50,2014-02-20,46.49,0,0,20,2,3,0
51,2014-02-21,54.5,8,0,21,2,4,0
52,2014-02-22,49.01,0,0,22,2,5,1
53,2014-02-23,55.04,0,0,23,2,6,1
54,2014-02-24,41.0,0,0,24,2,0,0
55,2014-02-25,34.61,28,71,25,2,1,0
56,2014-02-26,32.54,18,25,26,2,2,0
57,2014-02-27,32.09,0,0,27,2,3,0
58,2014-02-28,22.19,0,0,28,2,4,0
59,2014-03-01,34.61,0,0,1,3,5,1
60,2014-03-02,44.51,58,0,2,3,6,1
61,2014-03-03,27.59,140,97,3,3,0,0
62,2014-03-04,23.63,0,0,4,3,1,0
63,2014-03-05,35.15,0,0,5,3,2,0
64,2014-03-06,31.1,0,0,6,3,3,0
